angle_deg     ieee754_hex         sin_pre         sin_out    sin_out_real         sin_err         cos_pre         cos_out    cos_out_real         cos_err        flip_out
      180        43340000        0.000000            0000        0.000000       -0.000000       -1.000000            8000       -1.000000        0.000000              -2
      179        43330000        0.017452            023f        0.017548        0.000095       -0.999848            8004       -0.999878       -0.000030              -2
      178        43320000        0.034899            047b        0.035004        0.000104       -0.999391            8014       -0.999390        0.000001              -2
      177        43310000        0.052336            06b3        0.052338        0.000002       -0.998630            802f       -0.998566        0.000064              -2
      176        43300000        0.069756            08f3        0.069916        0.000159       -0.997564            8050       -0.997559        0.000005              -2
      175        432f0000        0.087156            0b26        0.087097       -0.000059       -0.996195            807c       -0.996216       -0.000021              -2
      174        432e0000        0.104528            0d62        0.104553        0.000025       -0.994522            80b2       -0.994568       -0.000046              -2
      173        432d0000        0.121869            0f9a        0.121887        0.000018       -0.992546            80f3       -0.992584       -0.000038              -2
      172        432c0000        0.139173            11cf        0.139130       -0.000043       -0.990268            813c       -0.990356       -0.000088              -2
      171        432b0000        0.156434            1405        0.156403       -0.000032       -0.987688            8193       -0.987701       -0.000013              -2
      170        432a0000        0.173648            163b        0.173676        0.000027       -0.984808            81f1       -0.984833       -0.000025              -2
      169        43290000        0.190809            186e        0.190857        0.000048       -0.981627            825c       -0.981567        0.000060              -2
      168        43280000        0.207912            1a99        0.207794       -0.000118       -0.978148            82c9       -0.978241       -0.000093              -2
      167        43270000        0.224951            1cca        0.224915       -0.000037       -0.974370            8349       -0.974335        0.000035              -2
      166        43260000        0.241922            1ef8        0.241943        0.000021       -0.970296            83cd       -0.970306       -0.000011              -2
      165        43250000        0.258819            2123        0.258881        0.000062       -0.965926            845e       -0.965881        0.000044              -2
      164        43240000        0.275637            234b        0.275726        0.000089       -0.961262            84f4       -0.961304       -0.000042              -2
      163        43230000        0.292372            2568        0.292236       -0.000135       -0.956305            8598       -0.956299        0.000006              -2
      162        43220000        0.309017            278c        0.308960       -0.000057       -0.951057            8647       -0.950958        0.000098              -2
      161        43210000        0.325568            29a8        0.325439       -0.000129       -0.945519            86f8       -0.945557       -0.000038              -2
      160        43200000        0.342020            2bc8        0.342041        0.000021       -0.939693            87b4       -0.939819       -0.000127              -2
      159        431f0000        0.358368            2de3        0.358490        0.000122       -0.933580            8880       -0.933594       -0.000013              -2
      158        431e0000        0.374607            2ff5        0.374664        0.000058       -0.927184            894d       -0.927338       -0.000154              -2
      157        431d0000        0.390731            3207        0.390839        0.000107       -0.920505            8a2d       -0.920502        0.000003              -2
      156        431c0000        0.406737            340f        0.406708       -0.000029       -0.913545            8b13       -0.913483        0.000063              -2
      155        431b0000        0.422618            361d        0.422760        0.000142       -0.906308            8c01       -0.906219        0.000088              -2
      154        431a0000        0.438371            381b        0.438324       -0.000047       -0.898794            8cf5       -0.898773        0.000021              -2
      153        43190000        0.453990            3a1e        0.454041        0.000050       -0.891007            8df6       -0.890930        0.000076              -2
      152        43180000        0.469472            3c1a        0.469543        0.000072       -0.882948            8f00       -0.882813        0.000135              -2
      151        43170000        0.484810            3e0e        0.484802       -0.000007       -0.874620            900b       -0.874664       -0.000045              -2
      150        43160000        0.500000            4001        0.500031        0.000031       -0.866025            9126       -0.866028       -0.000002              -2
      149        43150000        0.515038            41ed        0.515045        0.000007       -0.857167            9248       -0.857178       -0.000010              -2
      148        43140000        0.529919            43d8        0.530029        0.000110       -0.848048            9378       -0.847900        0.000148              -2
      147        43130000        0.544639            45b4        0.544556       -0.000083       -0.838671            94a8       -0.838623        0.000048              -2
      146        43120000        0.559193            4791        0.559113       -0.000080       -0.829038            95e7       -0.828888        0.000150              -2
      145        43110000        0.573576            496b        0.573578        0.000001       -0.819152            9728       -0.819092        0.000060              -2
      144        43100000        0.587785            4b3d        0.587799        0.000014       -0.809017            9879       -0.808807        0.000210              -2
      143        430f0000        0.601815            4d08        0.601807       -0.000008       -0.798636            99c8       -0.798584        0.000052              -2
